/home/koyomi/WRF-ARW/data/jiangxi_case/fnl_20160616_00_00.grib2
shortName   name        
u           U component of wind 
v           V component of wind 
VRATE       Ventilation Rate 
gust        Wind speed (gust) 
gh          Geopotential Height 
t           Temperature 
r           Relative humidity 
o3mr        Ozone mixing ratio 
absv        Absolute vorticity 
w           Vertical velocity 
clwmr       Cloud mixing ratio 
hindex      Haines Index 
mslet       MSLP (Eta model reduction) 
sp          Surface pressure 
orog        Orography  
st          Soil Temperature 
soilw       Volumetric soil moisture content 
sdwe        Water equivalent of accumulated snow depth (deprecated) 
sde         Snow depth 
2t          2 metre temperature 
q           Specific humidity 
2d          2 metre dewpoint temperature 
2r          2 metre relative humidity 
aptmp       Apparent temperature 
10u         10 metre U wind component 
10v         10 metre V wind component 
cpofp       Percent frozen precipitation 
wilt        Wilting Point 
fldcp       Field Capacity 
SUNSD       Sunshine Duration 
lftx        Surface lifted index 
cape        Convective available potential energy 
cin         Convective inhibition 
pwat        Precipitable water 
cwat        Cloud water 
tozne       Total ozone 
hlcy        Storm relative helicity 
ustm        U-component storm motion 
vstm        V-component storm motion 
pres        Pressure   
icaht       ICAO Standard Atmosphere reference height 
vwsh        Vertical speed shear 
100u        100 metre U wind component 
100v        100 metre V wind component 
4lftx       Best (4-layer) lifted index 
hpbl        Planetary boundary layer height 
pt          Potential temperature 
plpl        Pressure of level from which parcel was lifted 
lsm         Land-sea mask 
ci          Sea ice area fraction 
prmsl       Pressure reduced to MSL 
5wavh       5-wave geopotential height 
352 of 352 messages in /home/koyomi/WRF-ARW/data/jiangxi_case/fnl_20160616_00_00.grib2

352 of 352 total messages in 1 files
